ADJ	NCLUSTERS	adj.all	adj.pert
terzo	0	0	0
ambientale	0	0	0
produttivo	1	1	0
industriale	1	0	1
agricolo	1	0	1
urbano	1	0	1
turistico	0	0	0
alimentare	0	0	0
quarto	0	0	0
urbanistico	1	0	1
stradale	0	0	0
energetico	0	0	0
sostenibile	0	0	0
quinto	0	0	0
forestale	0	0	0
ferroviario	0	0	0
sesto	0	0	0
architettonico	1	0	1
archeologico	0	0	0
idrico	0	0	0
montano	0	0	0
rurale	3	1	2
meridionale	1	1	0
animale	0	0	0
residenziale	1	0	1
metropolitano	1	0	1
cittadino	1	1	0
ecologico	0	0	0
marittimo	1	0	1
agrario	1	0	1
settimo	0	0	0
marino	1	0	1
artigiano	0	0	0
abitativo	0	0	0
rinnovabile	1	1	0
nono	0	0	0
parco	0	0	0
selvatico	1	1	0
climatico	1	0	1
atmosferico	1	0	1
alpino	2	0	2
venatorio	0	0	0
costiero	0	0	0
attrezzato	0	0	0
artigianale	0	0	0
circostante	0	0	0
edile	0	0	0
settentrionale	1	1	0
naturalistico	0	0	0
sotterraneo	0	0	0
ottavo	0	0	0
petrolifero	0	0	0
paesaggistico	0	0	0
tessile	1	0	1
agroalimentare	0	0	0
idraulico	0	0	0
abitato	1	1	0
alberghiero	0	0	0
sismico	0	0	0
portuale	0	0	0
infrastrutturale	0	0	0
autostradale	0	0	0
geologico	1	0	1
idrogeologico	0	0	0
ricettivo	1	1	0
limitrofo	0	0	0
pedonale	0	0	0
adiacente	0	0	0
gastronomico	1	0	1
termale	0	0	0
bovino	1	0	1
distributivo	1	1	0
fertile	1	1	0
potabile	1	1	0
nautico	0	0	0
ittico	0	0	0
decimo	0	0	0
esotico	0	0	0
meteorologico	1	0	1
fluviale	0	0	0
tropicale	0	0	0
adriatico	0	0	0
demaniale	0	0	0
sottostante	0	0	0
roccioso	0	0	0
ciclabile	0	0	0
zootecnico	0	0	0
antincendio	0	0	0
faunistico	0	0	0
aeroportuale	0	0	0
minerario	0	0	0
boschivo	1	1	0
acquatico	0	0	0
autoctono	1	1	0
viario	0	0	0
refluo	0	0	0
balneare	0	0	0
fondiario	0	0	0
ventesimo	0	0	0
merceologico	0	0	0
paesistico	0	0	0
subacqueo	0	0	0
botanico	1	0	1
manifatturiero	0	0	0
tredicesimo	0	0	0
ceramico	1	0	1
polare	0	0	0
contiguo	0	0	0
arido	0	0	0
eolico	1	0	1
vulcanico	1	0	1
collinare	0	0	0
mercantile	1	0	1
penultimo	0	0	0
metalmeccanico	0	0	0
levante	0	0	0
morfologico	0	0	0
terziario	0	0	0
veicolare	1	0	1
ripido	0	0	0
dodicesimo	0	0	0
nuvoloso	1	1	0
antistante	1	1	0
idroelettrico	1	0	1
ortofrutticolo	0	0	0
agrituristico	0	0	0
enogastronomico	0	0	0
estrattivo	0	0	0
murario	0	0	0
confinante	0	0	0
meteo	0	0	0
fognario	0	0	0
lagunare	0	0	0
fotovoltaico	1	0	1
vitivinicolo	0	0	0
arboreo	0	0	0
montuoso	0	0	0
rotatorio	1	0	1
intercomunale	0	0	0
geofisico	1	0	1
antropico	1	0	1
ionico	0	0	0
trentesimo	0	0	0
endemico	0	0	0
calamitoso	0	0	0
ovino	0	0	0
idrografico	1	0	1
quindicesimo	0	0	0
topografico	1	0	1
sabbioso	1	1	0
irriguo	0	0	0
alluvionale	1	0	1
corallino	0	0	0
vinicolo	0	0	0
undicesimo	0	0	0
oceanico	1	0	1
rigoglioso	0	0	0
tipologico	0	0	0
termoelettrico	1	0	1
background-color	0	0	0
diciottesimo	0	0	0
artico	1	1	0
tirrenico	0	0	0
sciistico	0	0	0
suino	0	0	0
appenninico	0	0	0
agro-alimentare	0	0	0
edificabile	0	0	0
acquifero	1	0	1
caprino	1	0	1
acqueo	1	0	1
enologico	0	0	0
calcareo	0	0	0
impervio	1	1	0
comprensoriale	0	0	0
attiguo	0	0	0
segnaletico	0	0	0
sottomarino	0	0	0
soleggiato	0	0	0
sedicesimo	0	0	0
pianeggiante	0	0	0
pedemontano	0	0	0
erboso	1	1	0
sovracomunale	0	0	0
temperato	1	1	0
agronomico	1	0	1
siderurgico	0	0	0
speleologico	0	0	0
carsico	0	0	0
tangenziale	0	0	0
perimetrale	0	0	0
quattordicesimo	0	0	0
sessantesimo	0	0	0
equatoriale	0	0	0
stanziale	1	1	0
prospiciente	0	0	0
ventunesimo	0	0	0
rotabile	0	0	0
insulare	0	0	0
equino	0	0	0
diciannovesimo	0	0	0
geotermico	0	0	0
meteorico	1	0	1
zoologico	0	0	0
desertico	0	0	0
edificatorio	0	0	0
popoloso	0	0	0
filato	1	1	0
geomorfologico	0	0	0
alberato	0	0	0
suburbano	1	0	1
cacciabile	0	0	0
caseario	0	0	0
carnivoro	0	0	0
line-height	0	0	0
cinquantesimo	0	0	0
ecocompatibile	0	0	0
anfibio	1	1	0
carrabile	0	0	0
litoraneo	0	0	0
australe	1	1	0
metallurgico	1	0	1
lacustre	0	0	0
centro-orientale	0	0	0
intermodale	0	0	0
pluviale	0	0	0
lattiero-caseario	0	0	0
lussureggiante	0	0	0
temporalesco	1	1	0
lavico	0	0	0
franoso	1	1	0
prealpino	0	0	0
sud-orientale	0	0	0
insediativo	0	0	0
sovrastante	0	0	0
nord-occidentale	0	0	0
boreale	1	1	0
nord-orientale	0	0	0
salmastro	0	0	0
officinale	0	0	0
velico	0	0	0
rovescio	0	0	0
antisismico	0	0	0
scosceso	0	0	0
apistico	1	0	1
spongiforme	0	0	0
fabbricabile	0	0	0
faunistico-venatorio	0	0	0
diciassettesimo	0	0	0
paludoso	0	0	0
primo	4	4	0
nuovo	1	1	0
grande	4	4	0
pubblico	1	1	0
presente	2	2	0
diverso	4	4	0
ultimo	3	3	0
nazionale	4	3	1
relativo	2	2	0
sociale	2	1	1
regionale	1	0	1
possibile	2	2	0
generale	1	1	0
vero	4	4	0
previsto	0	0	0
necessario	2	2	0
economico	3	1	2
locale	1	1	0
unico	1	1	0
piccolo	1	1	0
secondo	2	2	0
importante	4	4	0
seguente	1	1	0
comune	3	3	0
alto	4	4	0
umano	3	1	2
certo	3	3	0
successivo	2	2	0
tecnico	2	1	1
lungo	3	3	0
civile	3	3	0
superiore	4	4	0
finanziario	1	0	1
forte	5	5	0
legislativo	1	0	1
particolare	1	1	0
specifico	2	2	0
precedente	1	1	0
professionale	4	1	3
solo	0	0	0
prossimo	1	1	0
amministrativo	1	0	1
scolastico	0	0	0
libero	2	2	0
principale	4	4	0
privato	1	1	0
personale	1	1	0
scientifico	2	1	1
eventuale	0	0	0
pieno	1	1	0
intero	1	1	0
medio	0	0	0
scorso	0	0	0
semplice	2	2	0
comunale	1	0	1
speciale	1	1	0
ufficiale	1	1	0
noto	1	1	0
massimo	1	1	0
attuale	3	2	1
ulteriore	1	1	0
interno	3	3	0
singolo	1	1	0
utile	3	3	0
fondamentale	1	1	0
diretto	2	2	0
disponibile	1	1	0
vario	1	1	0
giusto	8	8	0
provinciale	0	0	0
gran	0	0	0
chiaro	5	5	0
basso	2	2	0
naturale	5	5	0
breve	5	5	0
minore	4	4	0
centrale	1	1	0
numeroso	1	1	0
competente	1	1	0
costituzionale	1	0	1
reale	6	4	2
positivo	1	1	0
sito	0	0	0
territoriale	0	0	0
operativo	1	0	1
finale	1	1	0
ampio	2	2	0
inferiore	1	1	0
recente	0	0	0
didattico	0	0	0
commerciale	1	1	0
complessivo	1	1	0
formativo	0	0	0
comunitario	0	0	0
attivo	3	3	0
simile	2	2	0
apposito	0	0	0
giuridico	1	0	1
elettronico	0	0	0
facile	1	1	0
pronto	2	2	0
continuo	4	4	0
autonomo	0	0	0
esterno	2	2	0
interessato	2	2	0
minimo	1	1	0
ordinario	2	2	0
adeguato	2	2	0
penale	1	0	1
proprio	0	0	0
sportivo	1	0	1
significativo	4	4	0
completo	2	2	0
universitario	1	0	1
opportuno	1	1	0
concreto	1	1	0
normale	2	2	0
assoluto	2	2	0
profondo	2	2	0
istituzionale	1	0	1
favorevole	1	1	0
capace	3	3	0
determinato	2	2	0
evidente	2	2	0
permanente	2	2	0
sindacale	1	1	0
legale	2	1	1
collettivo	1	1	0
complesso	1	1	0
tradizionale	1	1	0
totale	1	1	0
vigente	1	1	0
informatico	0	0	0
definitivo	1	1	0
fiscale	1	0	1
individuale	1	1	0
preciso	1	1	0
elettrico	2	0	2
organizzativo	1	0	1
statale	0	0	0
normativo	1	1	0
popolare	1	1	0
tecnologico	1	0	1
famoso	1	1	0
grosso	3	3	0
giudiziario	1	0	1
efficace	1	1	0
essenziale	2	2	0
informativo	0	0	0
negativo	1	1	0
effettivo	2	1	1
elevato	1	1	0
originale	1	1	0
sufficiente	2	2	0
mezzo	0	0	0
annuale	0	0	0
classico	1	1	0
valido	3	3	0
compreso	1	1	0
contrario	1	1	0
aziendale	0	0	0
immediato	1	1	0
estremo	0	0	0
tipico	1	1	0
legato	0	0	0
parlamentare	1	0	1
cosiddetto	0	0	0
citato	0	0	0
lavorativo	0	0	0
onorevole	1	1	0
notevole	1	1	0
mancato	0	0	0
sicuro	6	6	0
obbligatorio	0	0	0
futuro	1	1	0
rilevante	1	1	0
integrato	0	0	0
serio	2	2	0
idoneo	2	2	0
femminile	2	2	0
quotidiano	0	0	0
educativo	1	1	0
problematico	1	1	0
gratuito	1	1	0
responsabile	1	1	0
conseguente	0	0	0
critico	2	2	0
predetto	0	0	0
suddetto	0	0	0
funzionale	1	1	0
elementare	1	0	1
globale	1	1	0
televisivo	0	0	0
indispensabile	2	2	0
doppio	0	0	0
costante	2	2	0
connesso	1	1	0
differente	1	1	0
previo	0	0	0
digitale	1	0	1
leggero	5	5	0
online	0	0	0
fermo	0	0	0
strategico	1	0	1
analogo	0	0	0
vasto	2	2	0
iniziale	1	1	0
puro	2	2	0
disciplinare	0	0	0
pratico	1	1	0
rispettivo	0	0	0
uguale	2	2	0
parziale	1	1	0
primario	1	1	0
contrattuale	1	0	1
secondario	1	1	0
fisso	1	1	0
stretto	3	3	0
rapido	1	1	0
qual	0	0	0
corrispondente	1	1	0
preventivo	1	1	0
ministeriale	1	0	1
alternativo	0	0	0
temporaneo	1	1	0
innovativo	0	0	0
mobile	1	1	0
aggiuntivo	0	0	0
veloce	1	1	0
scarso	1	1	0
intenso	1	1	0
largo	1	1	0
specializzato	2	2	0
strutturale	1	0	1
urgente	0	0	0
unitario	0	0	0
direttivo	1	0	1
dipendente	1	1	0
indipendente	1	1	0
esistente	1	1	0
esclusivo	1	1	0
soggetto	0	0	0
edilizio	0	0	0
potente	2	2	0
allegato	1	1	0
formale	1	1	0
indicato	1	1	0
organico	1	1	0
telefonico	0	0	0
netto	1	1	0
bello	4	4	0
buono	6	6	0
migliore	3	3	0
vecchio	3	3	0
difficile	2	2	0
grave	0	0	0
vicino	3	3	0
giovane	1	1	0
buon	0	0	0
caro	1	1	0
lontano	3	3	0
aperto	3	3	0
interessante	1	1	0
ricco	2	2	0
duro	5	5	0
vivo	4	4	0
povero	1	1	0
cattivo	2	2	0
strano	2	2	0
inutile	3	3	0
enorme	0	0	0
bravo	2	2	0
impossibile	1	1	0
perfetto	1	1	0
felice	2	2	0
caldo	2	2	0
chiuso	4	4	0
freddo	3	3	0
dolce	1	1	0
attento	2	2	0
pesante	2	2	0
debole	2	2	0
prezioso	1	1	0
segreto	1	1	0
falso	2	2	0
miglior	0	0	0
fresco	2	2	0
brutto	1	1	0
tranquillo	2	2	0
delicato	2	2	0
splendido	1	1	0
consapevole	2	2	0
amico	0	0	0
violento	1	1	0
eccezionale	1	1	0
ottimo	0	0	0
drammatico	1	1	0
eccessivo	0	0	0
sano	1	1	0
solito	1	1	0
infinito	2	2	0
incredibile	1	1	0
